storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Non-Hazardous",Takasago,Nat Coffee Fl WONF,PPLC-13-1758,10/22/2013,10/22/2014
"Gatorade Lab, Non-Hazardous",Takasago,Vivid (R) Nat Fl Coffee Arabica Type,PPLC-13-1757,10/22/2013,10/22/2014
"Gatorade Lab, Non-Hazardous",Takasago,Nat Fl Green Tea Type,PPLC-13-1131,7/1/2013,7/1/2014
"Gatorade Lab, Non-Hazardous",Takasago,Nat Fl Honey Green Tea Type,PPLC-13-1035,6/14/2013,6/14/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Apple with Tamarind Fl WONF,at0723m02,7/25/2013,7/25/2014
"Gatorade Lab, Non-Hazardous",Givaudan,GivaudanCollections (TM) Nat Mango Fl,dfs0430I01,7/25/2013,7/25/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Mango Fl,c300014678,7/25/2013,7/25/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peanut Butter Fl Type,TRH0418M06,6/3/2013,6/3/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Pomegranate Acai Fl WONF,11,6/6/2013,6/6/2014
"Gatorade Lab, Non-Hazardous",Symrise,Nat Pomegranate Acai Fl WONF,11,6/13/2013,6/13/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Fl (Sweet Type) Sweetgem,1303700028,2/6/2013,2/6/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Ranch Fl,IVO1121M01,11/22/2013,11/22/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Bloody Mary Fl,C3A0001920,11/22/2013,11/22/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Masking Fl,121213,12/12/2013,12/12/2014
"Gatorade Lab, Non-Hazardous",Takasago,Micron (R) Intensates (R) Nat Fl Blend,PPSD-13-395,12/6/2013,01/01/1900
"Gatorade Lab, Non-Hazardous",Takasago,Micron (R) Intensates (R) Nat Fl Blend (2),PPSD-13-395,12/10/2013,01/01/1900
"Gatorade Lab, Non-Hazardous",Takasago,Micron (R) Sensweet (R) Nat Fl Sweet Type,PPSD-13-394,12/11/2013,01/01/1900
"Gatorade Lab, Non-Hazardous",Takasago,Micron (R) Vivid (R) Nat Mixed Berry Fl WONF,PPSD-13-393,12/11/2013,01/01/1900
"Gatorade Lab, Non-Hazardous",GC Chemicals,Tartaric Acid Nat,3183-MA,5/1/2011,5/1/2016
"Gatorade Lab, Non-Hazardous",GC Chemicals,Tartaric Acid Nat,3183-MA,5/1/2011,5/1/2016
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Flavor (Upfront Sweetness Type),101513,10/15/2013,10/15/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Flavor(Upfront Sweetness Type),101513,10/15/2013,10/15/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Ethyl Butyrate,1001429188,10/30/2013,10/30/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Pineapple Citrus WONF,1310F016200,10/17/2013,10/17/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Fl (Orange Key),1310F021202,10/21/2013,10/21/2014
"Gatorade Lab, Non-Hazardous",Kerry,Nat Citrus Fl WONF,TS-32504,11/6/2013,11/6/2014
"Gatorade Lab, Non-Hazardous",Kerry,Nat Orange Fl WONF,1000788894,11/6/2013,11/6/2014
"Gatorade Lab, Non-Hazardous",Kerry,Nat Orange Fl WONF,1000788894,8/5/2013,8/5/2014
